code,name,academic_units,exam_schedule,common_information,description,mutually_exclusive,not_available,not_available_all,offered_as_bde,offered_as_ue,prerequisite,department_maintaining,grade_type,not_offered_as_bde_ue_to,not_offered_as_core_to,not_offered_as_pe_to,program_list,level
AAA08B,FASHION & DESIGN: WEARABLE ART AS A SECOND SKIN,3,,"LEC/STUDIO^LE^THU^1430-1720^NIE7-02-07^Teaching Wk1-10,12,13","Develop process skills in expression and visual articulation through the creation of wearable art works as a second skin. It is an initiation into fashion design and illustration world and will focus on the fundamentals of creating form, controlling volume and surface treatments for the body. Students of this hands-on class will experience illustrating their creations as well constructing their works to achieve a wearable art work.

Attendance is a requirement as there are continual and formative assessments.",,"ARED, SCED",,1,1,Details - refer to https://www.ntu.edu.sg/nie/vpa-electives,NIE,Letter-Graded,,,,,10
AAA08C,EXPRESSIVE DRAWING: DEVELOPING PERSONAL APPROACH & STYLE,3,,LEC/STUDIO^LE^MON^1030-1320^NIE3-B2-01^,"Students will learn a brief history of expressive style in drawing and will learn about current drawing practices in contemporary art. Through a self-guided library search they will find and explore and investigate the work of artists who use expressive drawing. This investigation will help students to develop and enhance their studio art-making experience and deepen their understanding of the role of drawing in human development and in art. Students will learn a variety of traditional and frequently used drawing techniques and materials used in past and current artworks. They will also decide upon and experiment with the use of alternative drawing materials. In consultation with the lecturer, students will decide to create either six small finished drawings or two larger finished drawings with accompanying preparation drawings, technique/material experiments and other evidence of their working process. The final artworks must utilize materials introduced at the beginning of the course and may incorporate alternative materials. Through the development and making process students will acquire working methods, research skills and technical knowledge necessary to successfully realize their own uniquely expressive drawings. They will also develop an understanding of the importance of drawing in history and an awareness of its relevance in contemporary art issues.

Attendance is a requirement as there are continual and formative assessments.",,"ARED, SCED",,1,1,Details - refer to https://www.ntu.edu.sg/nie/vpa-electives,NIE,Letter-Graded,,,,,10
AAA08D,ABSTRACT PAINTING: WHY IT'S HERE & HOW IT'S MADE,3,,LEC/STUDIO^LE^MON^1430-1720^NIE3-B2-01^,"Students will learn a brief history of abstraction in art and will learn about why abstraction continues as a form in contemporary art. Through a self-guided library search they will explore their own ideas and preferences as a means of developing and enhancing their studio art-making experience. Students will also learn basic painting techniques used in many abstract artworks and will learn about the use of alternative materials. In consultation with the lecturer, students will produce two major artworks with accompanying preparation drawings, paint technique experiments and other evidence of their working process. The final artworks must utilize paint, however, alternative materials will be allowed in conjunction with traditional painting techniques. Through the development and making process students will acquire working methods, research skills and technical knowledge necessary to successfully realize their own artworks. They will also develop an understanding of abstraction in art and an awareness of its relevance in contemporary and historical art issues.

Attendance is a requirement as there are continual and formative assessments.",,"ARED, SCED",,1,1,Details - refer to https://www.ntu.edu.sg/nie/vpa-electives,NIE,Letter-Graded,,,,,10
AAA18D,LIFE DRAWING,3,,LEC/STUDIO^LE^TUE^1130-1420^NIE3-B2-01^,"This course introduces drawing of the nude human figure at a basic level through developing various first hand observation skills. Students will learn skills in measuring, proportion, tone, volume, negative space etc. By the end of this course, students will develop a competency in making drawings with a degree of accuracy to what is being observed. 

Attendance is a requirement as there are continual and formative assessments.",AAA183,"ARED, SCED",,1,1,Details - refer to https://www.ntu.edu.sg/nie/vpa-electives,NIE,Letter-Graded,,,,,10
AAA18E,DRAWING,3,,,"This course introduces drawing at a basic level through developing various first hand observation skills. Students will create a range of drawings from portraits to still life depictions. Students will learn skills in measuring, proportion, tone, volume, negative space etc.  By the end of this course, students will develop a competency in making drawings with a degree of accuracy to what is being observed. 

Attendance is a requirement as there are continual and formative assessments.",AAA184,"ARED, SCED",,1,1,Details - refer to https://www.ntu.edu.sg/nie/vpa-electives,NIE,Letter-Graded,,,,,10
AAA18H,PAINTING WITH OIL & ACRYLIC,3,,"LEC/STUDIO^LE^THU^0930-1220^NIE3-B2-01^Teaching Wk1-10,12,13","This course introduces painting at a basic level.
1.	Technical skills related to the pre-production, production and post-production of painting.
2.	Understanding of the elements of art and principles of design
3.	Some historical references to Fine Art Painting practice will be made.

Attendance is a requirement as there are continual and formative assessments.",AAA185,"ARED, SCED",,1,1,Details - refer to https://www.ntu.edu.sg/nie/vpa-electives,NIE,Letter-Graded,,,,,10
AAA18J,PAINTING WITH WATERCOLOUR,3,,LEC/STUDIO^LE^WED^1130-1420^NIE3-B2-01^,"This course aims to highlight the beauty and ephemeral qualities of watercolour painting. Students will be progressively taught various techniques to achieve different results. There will be an emphasis on hands-on practice as well as keynotes on how to appreciate the visual qualities of watercolour paintings. Students will first be taught basic drawing and paintings skills, after which students are encouraged to take a more experimental and gestural approach to watercolour painting.

Attendance is a requirement as there are continual and formative assessments.",AAA186,"ARED, SCED",,1,1,Details - refer to https://www.ntu.edu.sg/nie/vpa-electives,NIE,Letter-Graded,,,,,10
AAA18K,COMMUNICATION DESIGN,3,,LEC/STUDIO^LE^TUE^1030-1320^NIE3-B1-06^,"This course introduces the study of communication design. 
1.	Technical skills related to the conceptualization and visual articulation of signs, images, symbols and composition.
2.	Understanding of the elements of art and principles of design
3.	Current and historical references to graphic design practice will be made.

Attendance is a requirement as there are continual and formative assessments.",AAA187,"ARED, SCED",,1,1,Details - refer to https://www.ntu.edu.sg/nie/vpa-electives,NIE,Letter-Graded,,,,,10
AAA18L,SILKSCREEN PRINTING,3,,LEC/STUDIO^LE^WED^1430-1720^NIE3-B1-08^,"This course introduces silk screen printing at a basic level.
1.	Technical skills related to the pre-production, production and post-production of silkscreen.
2.	Understanding of the elements of art and principles of design
3.	Survey of graphic printing on paper and fabric.

Attendance is a requirement as there are continual and formative assessments.",AAA188,"ARED, SCED",,1,1,Details - refer to https://www.ntu.edu.sg/nie/vpa-electives,NIE,Letter-Graded,,,,,10
AAA18M,BATIK,3,,"LEC/STUDIO^LE^THU^0930-1220^NIE3-B1-10^Teaching Wk1-10,12,13","This course introduces Batik at a basic level.
1.	Technical skills related to the pre-production, production and post-production of batik.
2.	Understanding of the elements of art and principles of design
3.	To learn about the historical references of Batik in relation to regional 

Attendance is a requirement as there are continual and formative assessments.",AAA189,"ARED, SCED",,1,1,Details - refer to https://www.ntu.edu.sg/nie/vpa-electives,NIE,Letter-Graded,,,,,10
